tranche_age,sexe,situation_professionnelle,utilise_orange_money,anciennete_usage,frequence_usage,sat_globale,perception_frais,presence_probleme,wave_usage,operateur_prefere,motif_principal,fidelite,pb_aucun,pb_autre,pb_lenteur,pb_probleme_de_reseau,pb_service_client,pb_transaction_echouee,serv_achat_de_credit,serv_paiement_de_factures,serv_paiement_marchand,serv_reception_dargent,serv_transfert_dargent,cluster
2,0,5,1,4,1,3,2,1,1,2,1,1,0,0,0,0,1,0,0,0,0,1,1,0
2,0,1,1,4,4,5,3,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1
3,1,3,1,4,3,1,3,1,1,2,1,1,0,1,0,0,0,0,1,0,0,1,1,2
2,0,5,1,3,3,2,1,0,1,2,2,1,1,0,0,0,0,0,1,1,1,1,1,2
2,0,5,1,2,2,4,3,0,1,2,4,1,1,0,0,0,0,0,1,0,0,1,1,4
2,0,5,1,3,2,3,3,0,1,2,1,1,0,1,0,0,0,0,1,0,0,0,0,3
2,0,5,1,3,1,4,3,1,1,2,0,1,0,1,0,0,0,0,1,0,0,1,1,3
2,0,5,1,4,3,4,3,0,1,2,2,1,1,0,0,0,0,0,1,0,0,1,1,1
2,1,5,1,2,3,4,3,0,1,0,1,1,1,0,0,0,0,0,0,1,0,1,1,4
2,0,5,1,4,1,4,2,0,1,2,2,1,1,0,0,0,0,0,1,0,0,1,1,0
2,1,5,1,4,1,4,2,1,1,2,4,1,0,0,0,0,1,0,1,0,0,0,1,0
2,0,5,1,4,1,2,2,1,1,2,3,0,0,0,0,0,1,0,0,0,0,1,1,0
2,0,5,1,3,1,4,3,0,1,2,2,1,1,0,0,0,0,0,1,0,1,1,1,3
2,0,5,1,3,1,3,1,1,1,2,1,1,0,0,0,1,0,0,1,0,0,1,1,0
4,1,4,1,4,3,1,2,1,1,0,1,1,0,0,1,0,0,0,1,1,1,1,1,2
3,1,5,1,4,1,5,3,0,1,2,0,1,0,1,0,0,0,0,1,0,0,1,1,3
2,0,5,1,4,3,4,2,0,1,2,2,1,1,0,0,0,0,0,1,1,1,1,1,1
2,0,5,1,4,1,4,3,0,1,2,1,1,1,0,0,0,0,0,1,0,0,0,1,3
3,1,5,1,4,1,5,3,0,1,2,2,1,1,0,0,0,0,0,0,0,0,1,0,3
5,1,3,1,4,3,5,2,1,1,2,2,1,0,0,1,1,0,0,1,1,0,1,1,1
3,1,5,1,4,1,4,3,0,1,2,1,1,1,0,0,0,0,0,1,0,0,1,1,3
3,1,5,1,4,1,3,2,0,1,2,0,1,0,1,0,0,0,0,1,0,0,1,1,0
3,1,5,1,4,1,2,1,1,1,2,3,1,0,0,1,0,0,0,0,0,0,0,1,0
1,0,5,1,3,1,3,2,1,1,2,1,1,0,0,0,0,0,1,1,0,0,0,1,0
2,1,5,1,4,1,4,3,0,1,2,0,1,1,0,0,0,0,0,1,1,1,1,1,3
2,0,5,1,2,1,2,2,1,1,2,1,1,0,0,0,0,1,0,1,1,0,1,1,4
2,0,5,1,4,1,3,2,0,1,2,2,1,1,0,0,0,0,0,1,0,0,1,1,0
3,1,3,1,4,1,4,1,0,1,2,1,1,0,0,0,0,1,0,1,0,0,1,1,0
2,0,5,1,4,1,4,2,0,1,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0
2,0,0,1,4,3,4,2,1,1,2,2,1,0,1,0,1,0,0,1,0,0,1,1,1
3,0,5,1,4,3,3,2,1,1,1,0,1,0,0,0,1,1,1,1,0,1,1,1,2
3,1,5,1,4,1,3,3,0,1,2,1,1,0,1,0,0,0,0,0,0,0,1,0,3
2,0,5,1,4,3,3,3,1,1,2,2,1,0,0,0,1,0,1,1,0,0,1,1,1
3,0,2,1,4,3,3,2,1,1,2,2,1,0,0,0,1,0,1,0,0,1,0,1,2
2,1,0,1,4,3,4,3,1,1,2,1,1,0,1,0,0,0,0,1,0,0,1,1,1
3,0,5,1,4,1,3,3,0,1,2,4,1,1,0,0,0,0,0,1,0,0,1,1,3
3,0,5,1,3,1,3,1,1,1,2,3,1,0,0,0,0,1,0,1,0,0,0,1,0
3,1,5,1,4,1,3,3,0,1,2,3,1,1,0,0,0,0,0,1,0,0,1,1,3
2,0,5,1,4,2,1,2,1,1,2,4,0,0,0,1,1,1,0,1,0,0,1,1,2
3,0,3,1,4,3,3,3,1,1,0,1,1,0,0,0,1,0,0,1,1,0,1,0,1
